,Borough,Population,AreaInKm2,Latitude,Longitude,ImmigrantsTotal,NumberVenues
0,Gamle Oslo,54 575,75,59.8992367,10.7347673396537,21839,7
1,Grünerløkka,58 906,48,59.92547125,10.7774211663347,21141,10
2,Sagene,43 131,31,59.93827295,10.7658488126624,11332,5
3,St. Hanshaugen,38 109,36,59.9279499,10.7389582516493,10666,9
4,Frogner,58 283,83,59.9096396,10.6879609280026,16498,5
5,Ullern,33 463,94,59.9258182,10.6651318330476,6717,14
6,Vestre Aker,48 605,166,59.95830005,10.6703187408315,8726,7
7,Nordre Aker,50 724,136,59.95363815,10.7564123566546,9518,6
8,Bjerke,31 973,77,59.9413947,10.8292084530298,14405,27
9,Grorud,27 525,82,59.96234275,10.8752898462327,14011,30
10,Stovner,32 850,82,59.9592925,10.9244988,19021,4
11,Alna,49 358,137,59.9298544,10.8170464,26723,7
12,Østensjø,49 968,122,59.8875633,10.8327479245309,13106,4
13,Nordstrand,51 169,169,59.8708796,10.7803525715802,9201,5
14,Søndre Nordstrand,38 925,184,59.83594385,10.7984955157279,21779,1
